author,comment,date_time,sentiment,sentiment_score
@고철-e4o,😢❤🎉,2025-01-23T12:28:18Z,Neutral 😐,0.0
@임현주-j2q,루다 색칠 하는 거 놓고왔잖아!!라고 말 할 때 귀여워요❤,2025-01-14T13:08:38Z,Neutral 😐,0.0
@이범주-m1i,바보,2025-01-02T07:57:55Z,Neutral 😐,0.0
@vin.l1l-I,"I&#39;m glad her dad lets her do a lot of things alone like asking for anything, even when it&#39;s in English",2024-10-31T09:36:58Z,Positive 😊,0.25
@한여진-o2o,우리루다~~멀리갔네~~ㅋㅋ,2024-10-06T22:05:08Z,Neutral 😐,0.0
@Brazil...,"Rudá é muito linda, não me canso de dizer! <a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=87"">1:27</a> <br>❤",2024-09-05T00:21:32Z,Neutral 😐,0.0
@beautiful_i24,"<a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=564"">9:24</a> 와 진짜 재밌어보여여....",2024-06-26T07:45:38Z,Neutral 😐,0.0
@craigwatson4565,"This isn&#39;t a raicist comment (it might be, but isn&#39;t meant to be).  This is the first time I&#39;ve ever heard an Asian person correctly pronounce &quot;r&quot;. The &quot;bread&quot; was pronounced perfectly by KJ.",2024-06-22T18:51:23Z,Positive 😊,0.417
@nguoivietnam1.,귀엽네요 👍🙂👍,2024-05-09T05:38:40Z,Neutral 😐,0.0
@최진호지역은어디일까,😅,2024-04-18T09:39:57Z,Neutral 😐,0.0
@Captwalker70,I guess  Ruda hates France just like everyone else?,2024-03-13T13:54:54Z,Neutral 😐,0.0
@manjushas3699,@realcouple can you please upload the videos of ruda as usual.....I am missing her so much.....love u ruda,2024-03-06T02:22:56Z,Negative 😡,-0.2
@GamerKatz_1971,To be honest I would cry to if I woke up and found myself in France? 😉,2024-01-28T14:20:05Z,Positive 😊,0.6
@molmouse123,ㅋㅋㅋ 애기 귀엽다 진짜 아빠 육아 너무 좋다 ㅋㅋㅋㅋㅋㅋ,2024-01-21T12:42:44Z,Neutral 😐,0.0
@경대승2021,&quot;휴~~ 다행이~다&quot;<br>❤루다 보는 재미로 살아요~,2024-01-14T05:53:38Z,Neutral 😐,0.0
@IloveHelloKittyandFriends,Aww Ruda is so cute pin please ❤,2023-11-12T11:50:33Z,Positive 😊,0.4
@yein_05,루다는 좋겠다 어릴때부터 유럽도 가고,2023-11-01T16:34:48Z,Neutral 😐,0.0
@ShanthiGunaratna-yz7pl,Beautiful...❤️👍,2023-10-26T10:04:21Z,Neutral 😐,0.0
@김효석-d9p,루다는귀여워요,2023-10-09T05:59:27Z,Neutral 😐,0.0
@tenarulofson3196,Great job parenting,2023-09-22T22:51:09Z,Positive 😊,0.8
@mrkichu6639,So pampered in every video she is crying for no reason.  Spoild child,2023-09-09T10:40:59Z,Negative 😡,-0.2
@김도희-h3e7p,루다가~^^  <br>너무 이뻐욤~~♡♡♡♡♡♡♡♡♡♡♡♡♡♡,2023-08-21T01:58:15Z,Neutral 😐,0.0
@badeds100,Please make it so the English words are not on top of the Korean words. I can’t enjoy it!,2023-08-05T20:11:08Z,Positive 😊,0.333
@stephenberson7236,"What fantasy land does that family come from. The wife/mom  is very attractive, the little girl is the cutest child I have ever seen and I hate to say it but the husband is good looking as well. Some very powerful genes going on there.",2023-07-06T14:18:07Z,Positive 😊,0.221
@AlfonsoY10,"Estragando a menina,ela mente pra fazer oque quer!",2023-05-28T11:11:57Z,Neutral 😐,0.0
@Dinofelis999,Ruda so sweet❤,2023-05-26T11:00:24Z,Neutral 😐,0.0
@Happy_kth,프랑스 여행영상 늦었지만 지금부터 쫘르륵 다 봐야것다 ㅎㅎ,2023-05-24T02:26:13Z,Neutral 😐,0.0
@어쩔이승희,루다 언니도 같이 먹자자ㅏ .ᐟ .ᐟ,2023-05-21T02:24:00Z,Neutral 😐,0.0
@44032,"KJ: &quot;We&#39;re not that jet-lagged&quot;. MJ: &quot;Yeah, right!&quot;",2023-05-12T18:01:08Z,Neutral 😐,0.0
@ДарьяКолмокова,Не плачь красавица Руда,2023-05-06T09:55:30Z,Neutral 😐,0.0
@별이-d1v,"<a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=796"">13:16</a> 아유~안된다 제킬 포인트<br>아직 아가인데 말은 왜이렇게 어른같은짘ㅋㅋ몇번이고 돌려봤네요<br>사랑해❤루다야",2023-05-05T14:18:19Z,Neutral 😐,0.0
@사소한이야기-h7q,"<a href=""https://www.youtube.com/watch?v=BhWQO75zRd0&amp;t=725"">12:05</a> 😂너무 기여워❤",2023-05-04T11:49:15Z,Neutral 😐,0.0
@Darwin-wt6lx,Have you ever visited Indonesia?,2023-05-03T02:35:30Z,Neutral 😐,0.0
@englishlady8863,Loving mum&#39;s jacket. Wondering where she purchased it?,2023-05-01T05:40:12Z,Positive 😊,0.6
@joceima,"Hi<br>I live a in France and to be honest asian food in restaurants and fast food are in general weird. I only eat asian food from my mom or myself ( I cook sometimes). <br><br>Hope you spent a really good trip in France. I was a bit worried when I saw your pictures in Paris. <br><br>Hope KJ and Ruda will get along forever. Sometimes the relationship between daughter and dad is complicated, it doesn&#39;t last when the daughter aged to 7 yo. It can even get worse in teenage hood.",2023-04-29T14:23:45Z,Positive 😊,0.006
@iluwasaa,안녕 루다야 왜 이렇게 다정해? 너의 가족과 루루는 너무 다정해.♡,2023-04-29T12:11:12Z,Neutral 😐,0.0
@steambrechbuehl5728,Ihr könnt euch so glücklich schätzen mit Ruda❤ Ihr seid so eine bezaubernde hübsche familie. Ein schönes paar mit viel liebe . 😊 ich freue mich immer auf eure videos . Wenn ihr das jemals lesen werdet einfach mal ein grosses DANKESCHÖN und viel GLÜCK in eurem Leben ❤❤,2023-04-29T08:53:52Z,Neutral 😐,0.0
@blessed1741,"Next, can you go to the Philippines Lee family? Have a swim here in our beautiful beaches since it is summer here. Love You Ruda.",2023-04-29T07:20:26Z,Positive 😊,0.45
@푸른바다-c3w,어쩜 저리 이쁘게 생겼는지 아기 장원영같음,2023-04-28T14:15:04Z,Neutral 😐,0.0
@nerminsener3573,Türkiye&#39;ye de bekleriz,2023-04-27T17:40:00Z,Neutral 😐,0.0
@melindalehan2060,"jet lag and head cold make Ruda a grumpy girl , lol",2023-04-27T16:19:41Z,Positive 😊,0.1
@o.o3698,민정님 첫날 카키색 아우터 정보 부탁드려요!!,2023-04-27T15:58:24Z,Neutral 😐,0.0
